gene_id,regulation,tissue_id
54065,AuG,2240
25830,AuG,1891
5879,AuG,955
2218,AuG,2240
79582,AuG,955
83539,AuG,955
57406,AuG,1893
79071,AuG,2240
389072,AuG,955
137994,AuG,955
130749,AuG,955
51185,AuG,1891
488,AuG,955
196500,AuG,2037
29091,AuG,1891
114,AuG,2240
4601,AuG,2037
5082,AuG,1891
3746,AuG,1896
118611,AuG,2240
158219,AuG,955
27069,AuG,1893
137492,AuG,2240
4208,AuG,1893
1804,AuG,1893
7439,AuG,955
387640,AuG,955
8936,AuG,1891
9120,AuG,955
55074,AuG,1891
90990,AuG,2037
23710,AuG,1891
9788,AuG,1893
3313,AuG,2240
1371,AuG,1893
9515,AuG,1893
57515,AuG,2240
3306,AuG,2240
5365,AuG,2037
90362,AuG,2037
80036,AuG,1896
3202,AuG,2240
54840,AuG,955
9043,AuG,1896
5516,AuG,955
58504,AuG,1891
79929,AuG,1896
118,AuG,1891
123591,AuG,955
64376,AuG,1891
8237,AuG,1891
4644,AuG,1896
6696,AuG,2240
10594,AuG,2037
158747,AuG,1893
5999,AuG,1891
56913,AuG,1896
23544,AuG,2037
23080,AuG,1891
100271715,AuG,955
5705,AuG,1891
2023,AuG,955
388753,AuG,955
57464,AuG,955
157567,AuG,2240
90835,AuG,955
171177,AuG,955
55203,AuG,1896
9739,AuG,2037
84197,AuG,955
23362,AuG,2240
5582,AuG,2037
84787,AuG,2037
3751,AuG,1896
1173,AuG,1893
283417,AuG,955
8140,AuG,1891
9734,AuG,2240
1181,AuG,2037
744,AuG,1896
331,AuG,955
5756,AuG,2240
6017,AuG,955
80036,AuG,1893
23179,AuG,2240
56997,AuG,2037
84553,AuG,1891
51534,AuG,1891
5979,AuG,1891
3621,AuG,955
55930,AuG,2037
3897,AuG,2037
8936,AuG,2240
80184,AuG,955
7697,AuG,1891
30850,AuG,1891
64756,AuG,1896
340719,AuG,2240
11258,AuG,955
65018,AuG,955
2054,AuG,1896
6305,AuG,1893
547,AuG,2037
65983,AuG,1891
80012,AuG,2037
122060,AuG,1896
54843,AuG,2240
5786,AuG,2240
1173,AuG,955
57030,AuG,1891
54926,AuG,2240
10617,AuG,1891
1573,AuG,1896
64077,AuG,1891
80755,AuG,955
84446,AuG,2037
7267,AuG,1893
3775,AuG,955
90249,AuG,955
285343,AuG,2240
1007,AuG,955
85477,AuG,1891
130888,AuG,955
6579,AuG,2240
3234,AuG,2240
10439,AuG,2240
7781,AuG,1893
2967,AuG,2240
10671,AuG,1891
286,AuG,1896
8120,AuG,1893
6529,AuG,2240
2261,AuG,2240
201163,AuG,2240
9435,AuG,1893
140701,AuG,955
165215,AuG,2037
10622,AuG,955
1778,AuG,2240
