gene_id,regulation,tissue_id
3135,AeG,955
5903,AeG,955
1974,AeG,2298
25924,AeG,1896
55311,AeG,1893
80853,AeG,2240
5591,AeG,1893
9961,AeG,1017
3275,AeG,1016
8986,AeG,1017
9352,AeG,1890
1015,AeG,1016
8880,AeG,2037
3305,AeG,1891
285335,AeG,1017
10016,AeG,2037
26953,AeG,2037
5784,AeG,955
23334,AeG,2037
130367,AeG,955
6339,AeG,1893
6531,AeG,1895
11160,AeG,2037
659,AeG,955
4131,AeG,2028
10081,AeG,2037
60592,AeG,1896
5864,AeG,1896
6566,AeG,1893
55037,AeG,1891
56681,AeG,1891
9866,AeG,1017
8973,AeG,45
79948,AeG,1017
50865,AeG,1017
23184,AeG,1891
10226,AeG,1016
81533,AeG,1890
3163,AeG,2037
339745,AeG,2037
124936,AeG,1891
54953,AeG,955
6447,AeG,955
4175,AeG,1016
374986,AeG,1891
27288,AeG,955
509,AeG,1016
133619,AeG,1896
2218,AeG,1896
9448,AeG,955
9043,AeG,955
80222,AeG,1017
51143,AeG,1891
117248,AeG,1896
9868,AeG,1016
501,AeG,1017
6320,AeG,2037
285521,AeG,2298
23329,AeG,1896
1979,AeG,1895
7095,AeG,1896
9671,AeG,2028
4628,AeG,955
25793,AeG,2037
399979,AeG,2037
4725,AeG,1017
9015,AeG,2037
80036,AeG,955
6132,AeG,1893
84254,AeG,1896
205428,AeG,1017
7326,AeG,45
26160,AeG,955
115416,AeG,1017
205327,AeG,1016
130271,AeG,1017
25963,AeG,1891
166614,AeG,1893
2828,AeG,955
54896,AeG,955
22941,AeG,1016
116843,AeG,2037
8220,AeG,955
54758,AeG,1017
11067,AeG,1896
55815,AeG,1896
400954,AeG,2298
54949,AeG,1016
8161,AeG,2037
1759,AeG,1016
223,AeG,955
25836,AeG,2037
151194,AeG,1891
2900,AeG,1017
55833,AeG,1016
7058,AeG,955
10657,AeG,2240
140893,AeG,1896
10695,AeG,2240
2868,AeG,2037
79065,AeG,2240
51594,AeG,1016
10528,AeG,1891
9118,AeG,1891
54952,AeG,1891
1114,AeG,2240
11194,AeG,1890
64434,AeG,1891
79778,AeG,1016
892,AeG,2037
81832,AeG,955
1020,AeG,1016
27131,AeG,1891
26015,AeG,1016
2180,AeG,1016
29099,AeG,1891
55130,AeG,2037
2913,AeG,2037
1284,AeG,955
58189,AeG,1891
57630,AeG,2240
9802,AeG,1891
6695,AeG,1890
29988,AeG,2037
9617,AeG,1893
8887,AeG,1893
90411,AeG,1891
64431,AeG,2037
5375,AeG,1016
5095,AeG,1016
79738,AeG,2240
558,AeG,1893
8682,AeG,1017
10519,AeG,955
6515,AeG,1017
90809,AeG,955
284339,AeG,1896
3351,AeG,1893
253559,AeG,1893
26275,AeG,1891
56339,AeG,1016
55036,AeG,1017
5926,AeG,1016
4707,AeG,2298
388753,AeG,2037
9725,AeG,1017
145270,AeG,1896
4719,AeG,1893
5238,AeG,955
83552,AeG,955
7376,AeG,1016
1381,AeG,1891
29110,AeG,1017
80789,AeG,2240
5746,AeG,1016
135228,AeG,955
63973,AeG,2298
220202,AeG,955
51567,AeG,1890
51537,AeG,2037
2533,AeG,2298
1979,AeG,2240
57125,AeG,955
56658,AeG,2037
51314,AeG,1016
25802,AeG,1896
25789,AeG,1891
5701,AeG,1890
90135,AeG,2037
4800,AeG,955
10957,AeG,1891
8366,AeG,1890
7917,AeG,2240
51166,AeG,1016
84522,AeG,1891
10776,AeG,1893
51764,AeG,2028
57703,AeG,1021
29127,AeG,2037
9276,AeG,2037
8655,AeG,1017
389073,AeG,1896
55037,AeG,2037
3691,AeG,2037
5711,AeG,1016
5256,AeG,2037
26137,AeG,1016
25960,AeG,1896
3915,AeG,1890
92521,AeG,955
79781,AeG,1017
283489,AeG,1891
1955,AeG,1891
6770,AeG,1016
9525,AeG,1017
9519,AeG,2240
5569,AeG,1016
8896,AeG,1016
51073,AeG,1016
3150,AeG,955
55909,AeG,1891
84060,AeG,2028
55143,AeG,1016
2674,AeG,955
283537,AeG,2028
84067,AeG,955
2580,AeG,1896
8943,AeG,1017
4247,AeG,1017
2857,AeG,1016
2321,AeG,1896
7074,AeG,2037
112840,AeG,955
10200,AeG,1017
2730,AeG,1891
23324,AeG,1896
9196,AeG,1016
2879,AeG,45
8874,AeG,1893
5122,AeG,1890
81037,AeG,955
9677,AeG,955
23521,AeG,1895
23095,AeG,955
53615,AeG,955
23395,AeG,955
9924,AeG,1891
4976,AeG,1016
137492,AeG,1016
11046,AeG,2037
81619,AeG,955
79145,AeG,1896
4862,AeG,955
63973,AeG,1890
10806,AeG,1890
128218,AeG,2240
57463,AeG,1890
23252,AeG,1017
741,AeG,955
8661,AeG,2037
196394,AeG,2240
56894,AeG,2240
80196,AeG,1016
51097,AeG,1891
51599,AeG,2037
81029,AeG,2037
2697,AeG,1891
388610,AeG,1896
83604,AeG,2037
334,AeG,1905
8704,AeG,2037
891,AeG,955
51808,AeG,2240
2639,AeG,2037
5636,AeG,1896
4343,AeG,1896
476,AeG,955
1075,AeG,2037
221336,AeG,2037
284004,AeG,1891
8722,AeG,1016
10009,AeG,1893
57062,AeG,2028
11346,AeG,1017
10417,AeG,955
55273,AeG,1896
100532726,AeG,2037
51433,AeG,2240
29093,AeG,955
91663,AeG,1017
64782,AeG,2037
6205,AeG,1896
57642,AeG,955
58488,AeG,955
1155,AeG,1016
6305,AeG,955
29095,AeG,955
3718,AeG,1016
55917,AeG,2240
9844,AeG,1896
3320,AeG,955
10452,AeG,1896
2035,AeG,1016
2186,AeG,2037
79096,AeG,1896
150726,AeG,1890
10382,AeG,2240
7542,AeG,1891
54927,AeG,1017
5438,AeG,1016
9070,AeG,1017
9413,AeG,2037
284001,AeG,955
2899,AeG,1891
9400,AeG,955
528,AeG,2240
1200,AeG,1893
79058,AeG,1017
3396,AeG,1896
1808,AeG,2240
23022,AeG,2037
5607,AeG,2037
4285,AeG,1017
2071,AeG,2240
284359,AeG,1016
6944,AeG,2037
63894,AeG,1016
344787,AeG,2298
120376,AeG,955
6857,AeG,1891
51571,AeG,1896
29115,AeG,1890
5188,AeG,955
79738,AeG,1891
23211,AeG,1896
29888,AeG,955
211,AeG,2240
23704,AeG,955
2318,AeG,1890
80231,AeG,2037
4357,AeG,955
25911,AeG,1891
254263,AeG,2028
529,AeG,1893
1434,AeG,1890
3433,AeG,1891
168455,AeG,2240
23594,AeG,1891
114791,AeG,1017
57465,AeG,1016
57223,AeG,1893
80209,AeG,2037
339448,AeG,955
654502,AeG,1017
3516,AeG,1893
129684,AeG,1017
57634,AeG,1016
23167,AeG,955
9167,AeG,1017
