gene,relationship,MF
916,GpMF,GO:0032947
5729,GpMF,GO:0004955
440560,GpMF,GO:0035257
51382,GpMF,GO:0017111
4621,GpMF,GO:0016887
3628,GpMF,GO:0004441
2572,GpMF,GO:0031406
10380,GpMF,GO:0052745
402,GpMF,GO:0016462
9294,GpMF,GO:0008289
1553,GpMF,GO:0070330
10009,GpMF,GO:0008327
7023,GpMF,GO:0000987
117247,GpMF,GO:0022857
5128,GpMF,GO:0016772
57194,GpMF,GO:0005319
10320,GpMF,GO:0001067
917,GpMF,GO:0030159
7994,GpMF,GO:0016746
10398,GpMF,GO:0008307
51616,GpMF,GO:0003712
5576,GpMF,GO:0031625
5883,GpMF,GO:0004527
8273,GpMF,GO:0008514
23036,GpMF,GO:0001077
1445,GpMF,GO:0008022
5079,GpMF,GO:0044212
54934,GpMF,GO:0008080
6581,GpMF,GO:0015651
6662,GpMF,GO:0044212
23541,GpMF,GO:0030234
5273,GpMF,GO:0004866
2651,GpMF,GO:0008109
5705,GpMF,GO:0016818
7552,GpMF,GO:0000976
81607,GpMF,GO:0001618
7779,GpMF,GO:0019855
56950,GpMF,GO:0043175
64218,GpMF,GO:0045499
85004,GpMF,GO:0051427
27034,GpMF,GO:0003995
55186,GpMF,GO:0003735
26036,GpMF,GO:0001106
114882,GpMF,GO:0005548
27092,GpMF,GO:0022832
8724,GpMF,GO:1901981
11325,GpMF,GO:0017111
1512,GpMF,GO:0008236
7408,GpMF,GO:0008092
131578,GpMF,GO:0001968
5909,GpMF,GO:0016818
651,GpMF,GO:0005160
9915,GpMF,GO:0000977
1401,GpMF,GO:0001846
55787,GpMF,GO:0046982
7784,GpMF,GO:0005216
54795,GpMF,GO:0022890
1109,GpMF,GO:0015075
79736,GpMF,GO:0030234
4337,GpMF,GO:0051539
341947,GpMF,GO:0022891
142680,GpMF,GO:0015081
24137,GpMF,GO:0015631
57030,GpMF,GO:0022890
123096,GpMF,GO:0015651
55328,GpMF,GO:0016491
10645,GpMF,GO:0016773
6943,GpMF,GO:0043425
55556,GpMF,GO:0016853
6259,GpMF,GO:0004714
1581,GpMF,GO:0016705
3021,GpMF,GO:0001012
2675,GpMF,GO:0016167
6722,GpMF,GO:0070878
100133941,GpMF,GO:0019887
57763,GpMF,GO:0030169
5601,GpMF,GO:0004705
51361,GpMF,GO:0008092
2335,GpMF,GO:0008201
955,GpMF,GO:0045134
5573,GpMF,GO:0004860
20,GpMF,GO:0042626
83903,GpMF,GO:0004674
57594,GpMF,GO:0003712
265,GpMF,GO:0046848
265,GpMF,GO:0030021
55636,GpMF,GO:0000977
1109,GpMF,GO:0008514
159963,GpMF,GO:0022857
2624,GpMF,GO:0001158
23527,GpMF,GO:0031267
3481,GpMF,GO:0032403
84669,GpMF,GO:0008234
3183,GpMF,GO:0003727
79094,GpMF,GO:0005112
957,GpMF,GO:0016818
1470,GpMF,GO:0004869
5275,GpMF,GO:0004869
56950,GpMF,GO:0032403
9118,GpMF,GO:0005200
6369,GpMF,GO:0042379
7039,GpMF,GO:0070851
140738,GpMF,GO:0022838
283927,GpMF,GO:0003986
26503,GpMF,GO:0015295
79365,GpMF,GO:0001067
197258,GpMF,GO:0016773
91683,GpMF,GO:0005544
84939,GpMF,GO:0003682
135138,GpMF,GO:0015631
1974,GpMF,GO:0003724
55613,GpMF,GO:0004721
3309,GpMF,GO:0043021
