gene_from,relationship,gene_to
26224,INHIBITION,9978
8737,INHIBITION,7189
51397,INHIBITION,8453
81858,INHIBITION,1540
26263,INHIBITION,80204
208,INHIBITION,5519
5594,INHIBITION,9468
2847,INHIBITION,27241
1540,INHIBITION,6233
5567,INHIBITION,26696
1738,INHIBITION,5164
6850,INHIBITION,3725
5500,INHIBITION,8864
776,INHIBITION,2784
207,INHIBITION,5527
408,INHIBITION,22905
673,INHIBITION,8826
57670,INHIBITION,673
84335,INHIBITION,5564
26086,INHIBITION,728
1869,INHIBITION,84108
144699,INHIBITION,80028
84639,INHIBITION,8808
26245,INHIBITION,5566
330,INHIBITION,1508
283093,INHIBITION,408
51384,INHIBITION,11197
5829,INHIBITION,2771
3185,INHIBITION,5441
5568,INHIBITION,403278
409,INHIBITION,2769
26525,INHIBITION,8808
120065,INHIBITION,408
10772,INHIBITION,5439
5499,INHIBITION,9254
26707,INHIBITION,408
5431,INHIBITION,3178
26043,INHIBITION,64344
392309,INHIBITION,156
55970,INHIBITION,109
3185,INHIBITION,5437
8387,INHIBITION,409
409,INHIBITION,125963
29978,INHIBITION,154
7050,INHIBITION,4087
51122,INHIBITION,8945
151449,INHIBITION,8646
81327,INHIBITION,5568
10637,INHIBITION,130399
8314,INHIBITION,672
10256,INHIBITION,5037
5567,INHIBITION,338751
7004,INHIBITION,864
973,INHIBITION,28450
93589,INHIBITION,5529
10298,INHIBITION,85366
408,INHIBITION,390442
409,INHIBITION,346528
55336,INHIBITION,80204
192669,INHIBITION,1029
9444,INHIBITION,369
29099,INHIBITION,8453
28450,INHIBITION,6850
27345,INHIBITION,778
79317,INHIBITION,409
127069,INHIBITION,5567
55844,INHIBITION,93589
5566,INHIBITION,340156
5037,INHIBITION,55750
2689,INHIBITION,3717
3397,INHIBITION,5908
408,INHIBITION,282770
63940,INHIBITION,56670
1326,INHIBITION,4790
23216,INHIBITION,5565
26268,INHIBITION,9978
6750,INHIBITION,63940
31,INHIBITION,5565
114,INHIBITION,55970
255725,INHIBITION,5566
9820,INHIBITION,7311
2786,INHIBITION,111
51433,INHIBITION,898
200081,INHIBITION,6804
5142,INHIBITION,814
156,INHIBITION,390093
347168,INHIBITION,156
54845,INHIBITION,5440
23142,INHIBITION,54165
2243,INHIBITION,7529
3549,INHIBITION,64399
156,INHIBITION,138803
330,INHIBITION,1515
7157,INHIBITION,25898
3451,INHIBITION,5777
2266,INHIBITION,4893
126006,INHIBITION,58191
10000,INHIBITION,84335
3952,INHIBITION,23389
5778,INHIBITION,5599
2783,INHIBITION,775
867,INHIBITION,26509
9466,INHIBITION,3717
4893,INHIBITION,57085
27330,INHIBITION,7248
778,INHIBITION,10681
5567,INHIBITION,343563
84085,INHIBITION,28952
196883,INHIBITION,2793
5618,INHIBITION,9978
63940,INHIBITION,6370
25925,INHIBITION,632
5781,INHIBITION,7410
25793,INHIBITION,222235
8864,INHIBITION,5499
2783,INHIBITION,108
26235,INHIBITION,84085
51397,INHIBITION,54951
5957,INHIBITION,6010
3710,INHIBITION,5566
7253,INHIBITION,28389
122748,INHIBITION,408
3297,INHIBITION,7531
776,INHIBITION,6861
1021,INHIBITION,1032
26267,INHIBITION,222235
6468,INHIBITION,26270
727,INHIBITION,729
5440,INHIBITION,4670
5604,INHIBITION,3265
774,INHIBITION,54331
7297,INHIBITION,3441
999,INHIBITION,5595
5500,INHIBITION,27102
23112,INHIBITION,8342
408,INHIBITION,390061
5566,INHIBITION,392390
92482,INHIBITION,54585
5566,INHIBITION,346517
51725,INHIBITION,23142
54585,INHIBITION,123016
26999,INHIBITION,253314
127062,INHIBITION,5566
54165,INHIBITION,79791
340075,INHIBITION,25870
28991,INHIBITION,51397
5566,INHIBITION,6608
8345,INHIBITION,192670
7050,INHIBITION,4089
29899,INHIBITION,4283
26523,INHIBITION,865
3445,INHIBITION,3451
329,INHIBITION,355
408,INHIBITION,254973
7398,INHIBITION,9937
26476,INHIBITION,409
29899,INHIBITION,1325
5037,INHIBITION,5594
10827,INHIBITION,4893
10744,INHIBITION,64682
54145,INHIBITION,3674
25791,INHIBITION,5879
5568,INHIBITION,219464
27092,INHIBITION,5516
5142,INHIBITION,816
5567,INHIBITION,403273
123879,INHIBITION,84961
6468,INHIBITION,51725
26234,INHIBITION,23014
51725,INHIBITION,6502
10533,INHIBITION,5894
390323,INHIBITION,5566
126433,INHIBITION,84085
26234,INHIBITION,285231
5568,INHIBITION,219453
28952,INHIBITION,23412
5617,INHIBITION,2688
10399,INHIBITION,8737
150684,INHIBITION,26270
26234,INHIBITION,150684
26235,INHIBITION,4738
5568,INHIBITION,162998
56656,INHIBITION,156
123879,INHIBITION,283807
26267,INHIBITION,201456
26476,INHIBITION,5568
5257,INHIBITION,5500
1844,INHIBITION,6300
3013,INHIBITION,192670
84085,INHIBITION,144699
10488,INHIBITION,5501
23523,INHIBITION,57634
994,INHIBITION,1111
6885,INHIBITION,1540
79290,INHIBITION,5566
219438,INHIBITION,408
3187,INHIBITION,22916
7322,INHIBITION,54939
26086,INHIBITION,259287
156,INHIBITION,389090
5771,INHIBITION,6774
7529,INHIBITION,2244
81309,INHIBITION,157
26232,INHIBITION,150726
186,INHIBITION,63940
84219,INHIBITION,9681
3845,INHIBITION,8087
6502,INHIBITION,26270
1815,INHIBITION,63940
23142,INHIBITION,201456
156,INHIBITION,26494
785,INHIBITION,5500
5879,INHIBITION,5364
25898,INHIBITION,6233
5879,INHIBITION,407
26716,INHIBITION,408
54620,INHIBITION,26267
119749,INHIBITION,408
338675,INHIBITION,5566
9611,INHIBITION,6285
442191,INHIBITION,5567
26211,INHIBITION,5566
5501,INHIBITION,5260
842,INHIBITION,10038
284383,INHIBITION,157
4712,INHIBITION,5568
94235,INHIBITION,774
54620,INHIBITION,55294
4140,INHIBITION,5894
5438,INHIBITION,23543
3181,INHIBITION,6775
156,INHIBITION,219469
5601,INHIBITION,80824
3660,INHIBITION,3440
